first_name,last_name,email,phone,title,industry,company_size,account_id,last_activity,deal_name,amount,close_date,stage,owner
Gregory,Rodriguez,nichole73@example.org,,"Therapist, speech and language",LLC,500+,313f7e98-5f7a-4ce9-8ed6-a7a1bbd7bd74,2025-04-14,Deploy Bricks-And-Clicks Infrastructures Deal 45,,2025-04-25,Closed Lost,umartinez@example.com
Joan,Moore,not-an-email,765.983.4507x50242,Film/video editor,Ltd,1-10,6ea810e0-46f0-462b-9388-0d561aa9b723,2025-03-11,Empower Strategic Markets Deal 46,,2025-04-12,Negotiation,castanedajames@example.net
Mark,Caldwell,churchwesley@example.net,+1-870-321-3629x07792,Tax inspector,Inc,1-10,fbc3f60a-879c-43ae-94f2-04914ce763f7,2025-03-01,Synthesize Frictionless Networks Deal 47,39457.11,2025-05-10,Proposal,sjones@example.net
Peter,Ellis,amandabrown@example.com,301-333-5679,Professor Emeritus,Group,500+,b2f738ae-0dbf-4c77-98f8-a11fbf1917f2,2025-03-27,Evolve Granular Action-Items Deal 48,10423.31,2025-05-13,Prospecting,johnsonsierra@example.com
Ashley,Wagner,not-an-email,450.896.7832x262,Records manager,Inc,500+,100f8814-5120-45c6-9b3a-cd17a84f55f3,2025-02-20,Repurpose Wireless Networks Deal 49,23765.01,2025-05-07,Prospecting,gnguyen@example.com
Rhonda,Davis,riveramatthew@example.com,+1-666-304-5962x86267,Medical sales representative,,1-10,17ad167b-2c93-4ab0-b76a-c2af2fce4b41,2025-03-14,Grow Efficient Paradigms Deal 50,48283.31,2025-04-27,Closed Won,mary40@example.org
Francisco,Cox,,+1-774-366-4099,"Programmer, multimedia",Inc,51-200,b3773ec0-6b72-4c16-bbc5-db25778dc76a,2025-04-16,Exploit Virtual E-Business Deal 51,38358.93,2025-05-21,Prospecting,sharondavis@example.com
Stephanie,Thompson,,982-605-6983x37988,Charity officer,,1-10,c06a4914-e33e-4ad8-9cc2-d45d01472fdf,2025-04-03,Re-Contextualize Extensible Vortals Deal 52,47828.81,2025-05-16,Proposal,thill@example.org
Rhonda,Gonzales,milleredwin@example.net,662-736-7524,Sports administrator,and Sons,201-500,85c834c7-bb42-439d-a309-5c875d4ef1e0,2025-03-23,Engineer Killer Communities Deal 53,39926.37,2025-05-17,Closed Won,gcannon@example.org
Alicia,Mckinney,youngjustin@example.net,+1-794-638-5709x1886,Chartered loss adjuster,and Sons,,2042f53c-32b8-4b5f-b9c5-599a931a143f,2025-02-25,Iterate Cross-Media Markets Deal 54,-1000.0,2025-05-13,Proposal,james20@example.net
Ashley,Harrison,jaredbailey@example.com,(694)556-5643x7443,Ophthalmologist,PLC,,,2025-04-11,Expedite Value-Added Technologies Deal 55,38974.36,2025-04-13,Proposal,powelllindsay@example.com
Alison,Bolton,crystal02@example.net,001-449-836-4566x991,Food technologist,LLC,1-10,,2025-03-08,Target Clicks-And-Mortar Paradigms Deal 56,,2025-04-29,Closed Won,jamie70@example.org
Amy,Pham,christopher59@example.org,,"Programmer, multimedia",PLC,500+,,2025-04-08,Embrace Killer Methodologies Deal 57,27942.48,,Negotiation,pamela68@example.org
Kylie,Pace,not-an-email,(622)821-6481,Jewellery designer,LLC,,,2025-02-25,Unleash Visionary Niches Deal 58,31214.67,2025-04-20,Closed Lost,jeremy86@example.com
Shannon,Hughes,watsonjason@example.com,(333)245-8061,Restaurant manager,Inc,11-50,fc8ebb9d-43b9-4977-8a08-116a8cd778ff,2025-03-12,Enhance Interactive Technologies Deal 59,19972.51,2025-05-04,Prospecting,
Taylor,Wilson,not-an-email,477-338-0390,Veterinary surgeon,Ltd,11-50,,,Deliver Out-Of-The-Box Applications Deal 60,,,Closed Lost,
Wanda,Quinn,,001-961-488-4936,Copy,Ltd,201-500,2e5c65e6-6ab3-41f8-8616-fb9ca842265c,2025-04-20,Morph Bricks-And-Clicks Bandwidth Deal 61,13480.12,2025-04-27,Closed Lost,hjones@example.org
Thomas,Landry,,+1-810-730-5887,"Designer, jewellery",Inc,201-500,,2025-03-25,Innovate Enterprise Models Deal 62,37860.28,,Closed Won,ydixon@example.com
Bryan,Horne,russellluis@example.net,(388)781-3291x03326,Charity officer,,11-50,cbdba09a-6f2c-47b6-8d30-b6804f792610,2025-03-04,Engineer Innovative Synergies Deal 63,36792.8,2025-05-13,Proposal,theresa66@example.com
Erin,Stephenson,nguyenanthony@example.net,420.417.1599x57438,Illustrator,Ltd,11-50,6d262d94-ceba-4b7c-a81b-cf1ad62a7ad6,2025-03-20,Monetize Dot-Com E-Markets Deal 64,38740.54,2025-05-11,,elizabethmeza@example.org
Christian,Jones,ericasmith@example.com,489.674.4178,Retail manager,LLC,1-10,00ecae9d-3bf4-4e7d-b7ac-889cf93b1201,2025-03-24,Benchmark Virtual Models Deal 65,32581.5,,Closed Won,uhall@example.com
James,Davis,timothyortiz@example.org,987.670.0105,Occupational psychologist,Ltd,51-200,f8babe32-03b1-4858-99e2-6006e7552c80,2025-04-05,Architect 24/7 Methodologies Deal 66,32054.92,,,warnerdrew@example.com
Tara,Avila,david68@example.org,932-276-8025x8568,Patent attorney,and Sons,1-10,c1e573e2-741d-46d6-9173-a608fd2c43e2,2025-04-09,Strategize Impactful Roi Deal 67,,2025-04-27,,tranlaura@example.com
James,Cohen,,001-840-636-8606x3937,Architectural technologist,PLC,500+,08bbd715-15f8-4323-baf4-ecabec5f5cc9,2025-04-03,Revolutionize Cross-Platform E-Commerce Deal 68,3621.66,2025-04-20,Closed Won,ncrawford@example.com
Charles,Fletcher,katie56@example.org,(253)670-7982,Pensions consultant,Ltd,500+,3faecf80-5ee7-4e22-a77c-54edd41df456,2025-03-31,Engineer Ubiquitous E-Business Deal 69,-1000.0,2025-04-30,Prospecting,njones@example.net
Debra,Smith,not-an-email,001-669-549-2861x490,Visual merchandiser,PLC,51-200,8c485171-aa27-4349-8570-cf9ef73af258,2025-02-27,Exploit Turn-Key Niches Deal 70,33914.36,2025-05-13,Prospecting,garrettaguilar@example.com
Jerry,Shepard,jenningsmisty@example.com,6756468228,Patent attorney,and Sons,11-50,,2025-03-18,Expedite Killer Markets Deal 71,,2025-04-25,Prospecting,brittanymercado@example.net
Steven,French,solomonhayley@example.com,601-670-2411x52698,Translator,Ltd,500+,dd03045c-4673-4518-9fb8-73bea9f0966d,2025-03-15,Streamline 24/365 Applications Deal 72,18541.24,2025-05-13,Closed Lost,kevin58@example.org
Lisa,Gardner,dixonelizabeth@example.org,(668)236-2680x050,"Runner, broadcasting/film/video",PLC,500+,,2025-04-17,Envisioneer E-Business Schemas Deal 73,47680.55,,Closed Won,xkaufman@example.org
Andrew,Sanchez,deborah36@example.com,714-935-8150x38467,Public librarian,Ltd,51-200,5bcb560d-94d4-40c2-a36b-40275111c250,2025-03-12,Engineer Ubiquitous Experiences Deal 74,48817.28,2025-05-18,Closed Won,daniel75@example.com
David,Stewart,justinthompson@example.com,(754)487-2808,"Pharmacist, community",Inc,1-10,d3cb378f-3f7a-4d82-b914-db134c4e5a40,2025-02-21,Re-Contextualize Mission-Critical Web Services Deal 75,,2025-04-11,Proposal,marknewton@example.com
Cynthia,Dillon,,001-252-890-2567x9894,Social worker,Group,51-200,04b2f203-b50a-494c-8962-737ba09690bc,2025-02-21,Engage Proactive Vortals Deal 76,40735.35,2025-05-13,Closed Won,henry31@example.org
Anna,Perry,carrieray@example.net,5028613806,Chemical engineer,Inc,201-500,7c259758-f291-4437-b788-808e3f766306,2025-04-05,Extend Plug-And-Play Mindshare Deal 77,16771.71,2025-04-27,Negotiation,kimberly63@example.net
Dorothy,Evans,wesleyyoung@example.org,643-900-2975x376,Chartered accountant,Ltd,,b4744fb3-2039-4536-8f8d-f3d5e4d5c72f,2025-03-13,Matrix Synergistic Interfaces Deal 78,32116.74,,Negotiation,vanessagarcia@example.com
Patrick,Butler,wstuart@example.net,587.304.3591,Equality and diversity officer,Group,500+,7d70907f-b7d5-4dfc-aac3-70013d8c441e,2025-02-20,Mesh Cross-Media Mindshare Deal 79,-1000.0,2025-04-22,Prospecting,jimenezpaul@example.net
Jose,Tapia,debramurray@example.org,735.843.5625x2569,Town planner,Inc,201-500,5f1af2a3-3724-434d-8e1f-a5b2deef75cf,2025-04-03,Enhance Open-Source Synergies Deal 80,39618.16,2025-04-14,Proposal,michellereyes@example.com
Jay,Bauer,cheryljohnson@example.org,(995)987-3993,Orthoptist,,201-500,e6735539-be49-49ae-9554-e98a757f38c8,2025-04-18,Seize Efficient Portals Deal 81,,2025-05-21,Closed Lost,andrew18@example.net
Laura,Burns,,001-221-286-2179x733,Research scientist (medical),Ltd,1-10,b11bbcb0-d301-4b2e-a736-f19e57fe4e52,2025-03-23,Repurpose Out-Of-The-Box E-Business Deal 82,5056.46,2025-04-17,Negotiation,
Cynthia,Smith,gonzalezcatherine@example.org,001-563-622-9585x07789,Fisheries officer,,1-10,bc8e4c42-98b3-41a1-8009-5cc138a59ded,2025-04-02,Enable Rich E-Commerce Deal 83,23578.66,2025-05-02,,ssantos@example.org
Patricia,Ramos,caseygray@example.net,917.442.8665x708,"Therapist, sports",,500+,ed5727cc-b820-4888-9463-05c38d538c22,2025-02-20,Enable Open-Source Channels Deal 84,45552.56,,Proposal,jamesstevens@example.com
Alicia,Nelson,kcarlson@example.net,123-abc,"Pharmacist, community",Ltd,500+,cf965d3a-1c75-4313-a331-f8c12bbef1fb,2025-03-04,E-Enable Vertical Supply-Chains Deal 85,9799.89,,Proposal,sanchezstacy@example.net
Brian,Phillips,dakota52@example.org,(492)997-7979x940,Animator,Ltd,11-50,cec4b0d5-302b-4820-97ea-c551edc4d214,2025-03-03,Unleash E-Business Functionalities Deal 86,13822.95,2025-05-10,Closed Lost,gcooper@example.org
Joshua,Schmidt,not-an-email,123-abc,Chiropodist,PLC,500+,64b25bf9-d7ab-46b6-8efc-e6c4985f4472,2025-02-21,Disintermediate Granular Functionalities Deal 87,-1000.0,2025-05-14,Prospecting,pclark@example.org
Jesse,Smith,not-an-email,,Advertising art director,Group,,f2351f60-7474-4048-b0b1-9a237f0cd623,2025-03-24,Re-Contextualize Visionary Applications Deal 88,17577.33,,Closed Won,jason60@example.net
Mary,Russell,sarawu@example.org,+1-353-514-8165,Restaurant manager,Inc,,4b0662e9-c74e-4e65-bd44-ddc275b30a93,2025-04-01,Enhance Collaborative Web Services Deal 89,48708.3,2025-05-05,Negotiation,smalljames@example.com
William,Alexander,brendageorge@example.net,+1-911-845-5328x55354,Research scientist (life sciences),Ltd,500+,bb0921f0-d808-4ccd-bd6b-bea11f00d8ca,2025-04-14,Generate Turn-Key Convergence Deal 90,8912.5,2025-05-02,Prospecting,
Carol,Ward,,(404)305-8748x16719,"Engineer, automotive",Group,,b8fa5b0a-f748-4802-8d8a-f877d6417e1a,2025-03-06,Re-Intermediate One-To-One Communities Deal 91,,2025-05-08,Prospecting,sarah44@example.com
Timothy,Morales,,(659)920-2214,"Conservator, furniture",Inc,51-200,3c83f388-dbeb-4b7c-8457-5be41ed36c82,2025-03-14,E-Enable Back-End Roi Deal 92,39663.51,,Negotiation,ucox@example.com
John,Sutton,brandon22@example.net,,Call centre manager,,201-500,f1d8feca-747f-4b90-91d8-4873c5f6192f,2025-04-19,Facilitate Bricks-And-Clicks Deliverables Deal 93,43488.64,,Proposal,smithgregory@example.net
Derrick,White,shawnsantos@example.com,455-945-6954,Multimedia programmer,PLC,500+,2b1eb748-714d-4a40-a4e6-6ef71f0cd3f9,2025-04-10,Envisioneer Extensible Metrics Deal 94,,2025-05-02,Negotiation,hrobertson@example.org
Robert,Walker,mwall@example.org,123-abc,"Teacher, special educational needs",Inc,51-200,4f508cb2-769b-4966-9d52-a0b37b212ddb,2025-03-25,Empower Virtual Functionalities Deal 95,21845.26,2025-04-21,Closed Lost,lopezwendy@example.org
Paul,Coffey,,(991)699-0769x8416,Training and development officer,LLC,51-200,545e5914-5df4-43f2-bc4c-0b6e0d1cecd2,2025-03-20,Architect Impactful Mindshare Deal 96,,2025-05-14,Closed Won,joshuajackson@example.com
Shelia,Moore,,,Landscape architect,,500+,,2025-04-11,Generate B2C Infrastructures Deal 97,24607.48,2025-05-10,Closed Lost,russellsimmons@example.net
Kayla,Bradley,mcdonaldjessica@example.org,460.341.0080x5103,Race relations officer,and Sons,51-200,b89ef4c4-0d02-4019-93c1-9e5d5a473594,2025-03-07,Envisioneer One-To-One Deliverables Deal 98,21756.21,2025-05-12,Proposal,kelleymary@example.net
Jessica,Taylor,ghowell@example.com,358-868-8935,Architect,and Sons,201-500,2bcc7a88-8b01-4fd1-b1d4-a70fa38dbda5,2025-04-09,Enhance Open-Source Experiences Deal 99,12062.48,2025-04-27,Negotiation,dorisallen@example.com
Chelsea,Maynard,nicholas18@example.net,123-abc,"Restaurant manager, fast food",and Sons,1-10,3b71bcd4-0a25-434a-8f07-c07cb5db7258,2025-03-06,Evolve Revolutionary Channels Deal 100,34292.55,2025-04-13,Proposal,davisangela@example.com
Paul,Diaz,not-an-email,001-626-552-5992,"Administrator, education",Inc,,8d3c7b6a-20d5-419a-9066-5f85fec779f5,2025-03-26,Exploit Efficient Platforms Deal 101,20374.41,2025-05-16,Proposal,johnbowers@example.net
Gene,Murphy,washingtonvickie@example.org,409-850-0303x284,Occupational psychologist,Group,500+,fb274ca8-ee57-40e6-b35a-daa7eaa347c9,2025-02-20,Syndicate Cross-Media Niches Deal 102,49305.64,2025-04-12,Closed Lost,hughescole@example.org
Karen,Nguyen,rodriguezwilliam@example.com,657-759-6994x1736,"Journalist, magazine",LLC,51-200,70d4f4d7-3b43-4332-b24b-26056404830f,,Enable Open-Source Functionalities Deal 103,,2025-05-12,Closed Won,vclark@example.net
Jerry,Taylor,not-an-email,961.772.5575x40554,Catering manager,Group,51-200,,2025-04-06,Deliver Customized Methodologies Deal 104,1175.01,2025-04-21,Closed Won,christinemcneil@example.com
Cynthia,Brown,mlee@example.net,001-416-630-2014x8037,Commercial/residential surveyor,LLC,51-200,a86043ec-00a6-423b-b5c9-92a3d3f2d8b3,,Repurpose Strategic Info-Mediaries Deal 105,18922.62,2025-04-23,Prospecting,denise69@example.org
Kevin,Lester,grayashley@example.com,,Statistician,LLC,11-50,a840ebc8-4ffd-4900-a64b-38a295cd981f,2025-03-05,Leverage Interactive Bandwidth Deal 106,-1000.0,2025-05-14,Closed Won,breweranna@example.com
Antonio,Chan,ehughes@example.net,123-abc,Psychotherapist,Inc,51-200,7eb78708-09e2-4659-9725-f069e4459e03,2025-03-06,E-Enable Compelling Networks Deal 107,10911.02,2025-05-16,Negotiation,victoria34@example.com
Angela,Medina,not-an-email,947-725-5188,"Designer, blown glass/stained glass",Ltd,500+,9d226fc6-3060-4675-826e-85fe0ddc20ea,2025-03-12,Seize Bricks-And-Clicks Content Deal 108,34980.97,2025-05-01,Negotiation,
Michelle,Keith,,123-abc,Publishing copy,Inc,,ef72d1bd-93bb-4a68-90a2-fc5d5c0f6e5f,2025-04-04,E-Enable Rich Synergies Deal 109,39264.26,2025-04-22,Negotiation,jasonrush@example.com
Gordon,Robinson,,(376)334-5031x76923,Higher education careers adviser,and Sons,1-10,04658c64-e9cd-4b00-a9d5-b9b1183602dc,2025-02-23,Utilize B2C Eyeballs Deal 110,42342.25,2025-05-18,Proposal,stacey33@example.net
Sharon,Hudson,,2774322215,Advertising copywriter,Inc,11-50,76dba6a3-e5b2-43e8-9b60-d3e576c5820b,2025-04-01,Drive End-To-End E-Commerce Deal 111,4891.52,2025-04-24,Negotiation,ablankenship@example.org
Carlos,Chaney,herreraerik@example.net,5697201785,"Geneticist, molecular",LLC,500+,7d1d2492-9a65-4eb3-8da4-0cd1f4d67d40,2025-02-27,Drive Global Methodologies Deal 112,19517.94,2025-04-20,Negotiation,zachary16@example.net
David,Wallace,not-an-email,2804297553,Learning mentor,Inc,201-500,8226db78-5b63-40ff-921a-daa6f701b153,2025-03-20,Exploit 24/7 Content Deal 113,7871.6,2025-05-01,,fergusonsteven@example.org
John,Palmer,sandra17@example.com,(412)314-1573,English as a foreign language teacher,LLC,51-200,15afc883-f47d-4aa6-a62c-3a2bae9e76c9,2025-03-19,Re-Intermediate Cutting-Edge Deliverables Deal 114,,2025-04-16,Prospecting,ryoung@example.net
Jeremy,Wilson,lorirodriguez@example.org,123-abc,Metallurgist,Inc,51-200,0ec073b6-a262-4064-99c4-830a8e70e172,2025-02-23,Target Vertical Niches Deal 115,35411.09,2025-04-20,,katie96@example.net
Kathy,Fowler,zacharyclayton@example.org,5206148440,Careers adviser,LLC,500+,49821f3c-c3c4-4cca-bfee-b65db87efbad,2025-04-04,Whiteboard Web-Enabled Markets Deal 116,43348.0,,,haydenkathy@example.org
Laura,Rice,stephenmoran@example.net,,Advertising art director,LLC,201-500,edb5b9dd-1fee-4922-9abc-afc35023bf0a,2025-03-10,Enable Efficient Mindshare Deal 117,,2025-05-05,Proposal,simstonya@example.net
Michael,Ramirez,heatherlucas@example.com,988.684.7412x5985,Fast food restaurant manager,Group,51-200,836c1501-9893-4890-a23f-10168cb07cc7,2025-03-22,Monetize Back-End Models Deal 118,,2025-05-15,Closed Lost,reesejennifer@example.com
