first_name,last_name,email,phone,title,industry,company_size,account_id,last_activity,deal_name,amount,close_date,stage,owner
Paul,Burton,thomas22@example.net,712.366.7200x78375,"Sales professional, IT",PLC,500+,d6c0eb26-719a-4135-b018-7c13f63c59e8,2025-04-17,Extend Revolutionary Bandwidth Deal 55,49981.39,2025-05-25,Closed Won,jasonmills@example.net
Kenneth,Duncan,thomas09@example.org,+1-233-302-4553x96861,Food technologist,LLC,500+,0afb7953-35f7-4a4b-b81c-9b3bd1d97131,2025-03-19,Synergize Granular Bandwidth Deal 417,43163.04,2025-05-24,Closed Won,markrivas@example.org
Jason,Garcia,carlahall@example.com,712.740.9513x81613,"Optician, dispensing",Ltd,500+,97c2a3d7-628d-4c81-b96c-51d2d2cd6fe2,2025-03-03,Transition Visionary Eyeballs Deal 401,-1000.0,2025-04-25,Closed Lost,porozco@example.com
Ian,Dalton,mark32@example.net,272.250.5712x484,Operations geologist,Ltd,500+,5d2e4948-5158-44b3-92f2-da3e10005b89,2025-04-01,Drive Ubiquitous Info-Mediaries Deal 412,27514.72,2025-04-25,Negotiation,alicialester@example.com
Olivia,Roman,brian12@example.org,882.380.4132,Restaurant manager,Group,201-500,267b5f07-3cca-4f63-a053-f2bc6ec20e7d,2025-04-25,Aggregate Cross-Media Convergence Deal 47,11237.38,2025-05-01,Closed Won,pwolf@example.com
Jeremy,Edwards,qcline@example.com,(843)774-5203x994,Systems developer,Inc,1-10,c533eba6-ef3b-47d6-bb5a-c28a1212334d,2025-03-12,Innovate Efficient E-Markets Deal 103,38142.13,2025-04-25,Closed Lost,efreeman@example.com
Alan,Stewart,nbrown@example.com,+1-428-200-5653x3379,"Programme researcher, broadcasting/film/video",PLC,1-10,276180bd-6163-4b5c-96e1-f1a763ef140b,2025-03-11,Deliver Web-Enabled Platforms Deal 167,49054.93,2025-05-14,Negotiation,xparker@example.org
Eric,Kennedy,weaveraustin@example.com,601.279.8858x5772,Quantity surveyor,LLC,1-10,028e0fd7-5ac5-4981-b0c3-5a2a7d682c5c,2025-04-07,Aggregate Cross-Platform E-Services Deal 481,39528.2,2025-04-28,Closed Lost,emmacobb@example.net
Megan,Wilson,elizabeth46@example.com,+1-350-477-6081x84671,Special educational needs teacher,Inc,51-200,7a82d713-8bc9-4c38-9c46-e53426694b01,2025-04-18,Unleash Cutting-Edge Synergies Deal 139,7129.02,2025-05-18,Proposal,amanda23@example.net
Haley,Ellis,lhall@example.net,7314030489,Structural engineer,and Sons,500+,004e7a21-f176-4f45-80aa-b35917491fcb,2025-04-25,Synthesize Synergistic Applications Deal 131,40972.42,2025-04-25,Proposal,qnash@example.net
Suzanne,Ward,vgrant@example.org,123-abc,Hospital pharmacist,Ltd,1-10,b76b1dd4-c100-431a-ba8a-c4faccc9fb38,2025-04-06,Re-Intermediate Innovative Eyeballs Deal 323,12279.7,2025-05-24,Prospecting,ismith@example.net
Mercedes,Kaiser,alisha41@example.org,+1-759-487-1811,Photographer,PLC,500+,23e863bf-e6be-4fe9-82fc-4c8ad4f362bc,2025-03-16,Harness Impactful Web Services Deal 350,32125.53,2025-05-09,Closed Won,rburns@example.org
Dylan,Conrad,punderwood@example.net,+1-208-716-7862x8578,Brewing technologist,PLC,500+,8cd2473d-e02f-4471-b187-2b7985a75edf,2025-03-03,Syndicate One-To-One Markets Deal 155,42032.41,2025-04-17,Closed Lost,michael11@example.net
Jeffrey,Adkins,jflores@example.com,+1-513-661-9687,"Scientist, research (physical sciences)",Group,1-10,0d5a795e-bbe8-46f5-8ddd-12519c396d89,2025-04-07,Mesh 24/365 Metrics Deal 283,36077.76,2025-05-11,Closed Won,angela45@example.org
Jenny,Foster,krista82@example.net,726.294.7023x3656,Marketing executive,PLC,51-200,5a4fdd06-af36-40e3-b4b3-9837bb52658b,2025-03-15,Enhance Innovative Partnerships Deal 146,43873.86,2025-04-19,Closed Won,moralesalyssa@example.net
Ronald,Moore,nsmith@example.com,+1-992-625-6006x762,"Engineer, aeronautical",PLC,11-50,fef543e0-dc4d-4567-8af0-6dcf860a9978,2025-04-06,Empower Plug-And-Play Mindshare Deal 99,43322.37,2025-04-19,Negotiation,fmercado@example.org
Desiree,Mclaughlin,not-an-email,001-960-812-7444x2968,"Education officer, environmental",Group,,d78b6ad7-bbdb-452f-83fe-7d0d9c8c7817,2025-04-01,Productize 24/7 Niches Deal 409,,2025-04-27,Prospecting,elliselizabeth@example.com
Kyle,Stevens,lewistyler@example.com,001-528-356-8977x6483,Charity officer,PLC,51-200,92dfb696-2ab9-4b3a-927d-b12e04972541,2025-03-29,Extend Ubiquitous Paradigms Deal 39,17621.23,2025-05-17,Closed Won,heidihamilton@example.org
Amanda,Bradley,ndavis@example.net,932-556-3156,Customer service manager,and Sons,500+,fe28437e-88b0-4207-809e-682c9eade166,2025-04-17,Re-Contextualize Seamless Synergies Deal 17,33505.98,2025-05-14,Proposal,bryanterin@example.org
Ryan,Mahoney,brandongreen@example.net,678.900.7893,Museum/gallery curator,and Sons,500+,c169dce4-4b5f-448a-966a-020cfd7483bb,2025-03-02,Embrace Magnetic Methodologies Deal 57,44976.63,2025-05-10,Negotiation,brianwilson@example.net
Christopher,Robertson,pamela76@example.com,392-844-8950x33172,Artist,and Sons,51-200,868d7e09-5051-4ee6-97e3-8edd5e3b1e11,2025-04-13,Expedite Real-Time E-Markets Deal 498,11058.38,2025-04-19,Prospecting,john68@example.com
William,Gibbs,taylor59@example.net,(940)367-3952,Social worker,PLC,500+,27413dcf-a9ac-49cc-bf04-4ebd3f67fbe9,2025-03-05,Empower Interactive Supply-Chains Deal 288,42752.83,2025-04-17,Closed Lost,changjulie@example.com
Hector,Turner,harrissandra@example.com,(272)377-6505x4376,Futures trader,PLC,201-500,264a67f8-dfce-49ac-a1d6-50687c2ac30b,2025-04-18,Engage One-To-One Channels Deal 113,47078.4,2025-05-18,Closed Won,andredavis@example.org
Brian,Thompson,stephanie34@example.com,123-abc,Prison officer,Inc,51-200,682995cd-e26f-4ab9-9e22-54d0ea83249f,2025-04-27,Generate Mission-Critical Web-Readiness Deal 338,28809.18,2025-05-26,Proposal,joshualopez@example.com
Kenneth,Turner,timothyellis@example.net,001-571-612-4703x5793,"Teacher, music",Inc,201-500,41543a9a-88e7-4b12-95e0-4ff07dd42e10,2025-04-22,Morph Frictionless Markets Deal 254,34595.03,2025-04-20,Closed Lost,smithdavid@example.net
Melissa,Benson,todd45@example.net,681-286-9758x265,Chief Executive Officer,Group,11-50,2fca31fd-b643-4af9-9206-8650b12149a9,2025-04-23,Strategize Global Relationships Deal 297,3102.44,2025-05-08,Prospecting,schultzjamie@example.com
Sara,Smith,freywalter@example.net,5994681240,Sales executive,and Sons,1-10,7070b558-e435-4e42-9ac4-b4ee44740219,2025-04-22,Extend 24/365 Architectures Deal 221,2590.05,2025-05-05,Proposal,lharris@example.org
Jennifer,Calderon,cindy28@example.net,(734)242-6366x298,Diagnostic radiographer,Group,51-200,99bbf09c-23f5-428d-8cdd-89509f14917f,2025-04-25,Engage Real-Time Architectures Deal 454,4340.87,2025-05-17,Prospecting,ronald47@example.org
Jasmine,Martinez,ysilva@example.com,334.859.0731x35319,Town planner,Ltd,201-500,698a667f-6d4d-4714-8092-e0a8a060f5ef,2025-03-29,Evolve Real-Time E-Markets Deal 83,2805.34,2025-05-07,Prospecting,pduffy@example.org
John,Taylor,stevenortiz@example.org,+1-850-989-1855x259,"Therapist, drama",Ltd,201-500,90d97fc1-de3c-41d3-8099-9be2c3c03260,2025-03-09,Engage Turn-Key Vortals Deal 471,27808.52,2025-05-25,Proposal,stephaniefisher@example.org
Brendan,Jackson,sethholloway@example.com,8173636985,"Administrator, sports",Inc,201-500,2458aa11-01e6-470b-8ad8-3d89b2998df3,2025-03-14,Repurpose Enterprise Systems Deal 337,18288.71,2025-04-28,Prospecting,aprilrodriguez@example.com
Susan,Diaz,cowanbruce@example.org,6634541856,Horticultural consultant,Ltd,11-50,,2025-04-19,Enhance Leading-Edge Models Deal 483,47519.32,2025-05-15,Negotiation,reneejames@example.com
Carmen,Taylor,margaretshah@example.net,870-857-5132,Accommodation manager,PLC,11-50,bc3f00af-e687-40c9-a988-9589129b86b8,2025-03-01,Target Clicks-And-Mortar Initiatives Deal 19,1520.52,2025-05-11,Proposal,ualexander@example.net
Sarah,Lee,dustinellis@example.net,+1-491-282-7504x122,"Psychologist, prison and probation services",PLC,1-10,b4ad3c58-727f-422c-96c2-39473995b2d7,2025-03-24,Implement Back-End Vortals Deal 218,5615.19,2025-05-01,Negotiation,flivingston@example.net
Gregory,Lopez,cherylmcneil@example.org,123-abc,"Engineer, civil (consulting)",,51-200,9f79d61d-9df1-43e1-947c-cfa5f3b7940c,2025-04-05,Incentivize Synergistic Interfaces Deal 432,47847.5,2025-04-19,Closed Won,scottchristina@example.net
Kristen,Gonzalez,ariasjonathan@example.net,(322)945-0624x1791,"Engineer, petroleum",Group,,1c50a347-a391-448d-9553-7c4d85c4f682,2025-03-30,Unleash Cross-Media Technologies Deal 340,34505.92,2025-04-17,Closed Lost,jacksonnicholas@example.org
Robert,Mcintosh,randyhartman@example.org,001-585-646-9391x29232,Food technologist,Ltd,201-500,867c3eb8-bffc-49b1-9f28-f1886faff21f,2025-04-13,E-Enable Impactful Communities Deal 393,42364.38,2025-05-25,Proposal,fritzjasmin@example.net
Brandon,Smith,gtownsend@example.org,8667661769,Systems developer,PLC,11-50,bb6c67e1-5784-4792-82c1-fb45b4ce0eb5,2025-04-16,Expedite Cross-Platform E-Tailers Deal 41,34279.98,2025-04-23,Closed Won,margaret54@example.com
Jonathan,Campbell,llynch@example.org,(299)939-8671,"Surveyor, hydrographic",and Sons,500+,daa9f81b-e9e2-4ce9-9b5c-ea04d3f04f45,2025-03-05,Reinvent Clicks-And-Mortar Mindshare Deal 111,24724.38,2025-05-04,Closed Lost,cowanrichard@example.com
Alexander,Goodman,duransarah@example.org,459.728.9092,Broadcast engineer,PLC,201-500,ad12c697-1316-4313-8b52-6fc633ab442b,2025-02-26,Revolutionize User-Centric Infrastructures Deal 184,38656.77,2025-04-18,Prospecting,wilsonnicholas@example.net
Jessica,Gordon,aaron86@example.net,+1-544-530-6069x195,"Administrator, charities/voluntary organisations",,500+,a44a7af8-34d7-4575-8488-439b5837f8f6,2025-03-06,Leverage Open-Source E-Commerce Deal 385,30943.46,2025-05-13,Closed Won,robbinsjuan@example.net
Austin,Peck,not-an-email,221.886.4440x391,Health and safety adviser,PLC,500+,ec6af70e-bd00-4ff5-84fc-3c0cab3d2192,2025-02-28,Mesh Granular Bandwidth Deal 460,46848.41,2025-05-03,Closed Won,benjamin01@example.net
Jason,Jackson,alexandra76@example.com,521.290.8655x309,Psychiatric nurse,Inc,51-200,6c567908-87db-471d-b8e5-18b6f4884cc3,2025-03-31,Productize Real-Time Synergies Deal 358,41687.94,2025-04-22,Proposal,lyonsallen@example.com
Kaylee,Keller,donald00@example.org,962.766.8473x009,Physiotherapist,PLC,11-50,d0f98e05-39b4-40ad-bade-23c3ca8636e7,2025-03-07,Leverage Dynamic Vortals Deal 387,21685.57,2025-05-18,Proposal,margarethorton@example.net
Ashley,Harrison,hollysmith@example.net,(729)401-2827x18134,Amenity horticulturist,LLC,11-50,3eea9585-9ab6-4996-8a09-3a2f1f44ed33,2025-03-28,Enable Wireless Web Services Deal 75,45247.89,2025-05-08,Negotiation,monica65@example.org
Michele,Lee,perkinsjason@example.net,835-642-6086x976,Quality manager,and Sons,201-500,4b49c5bf-88ce-408a-8792-eae921dedc91,2025-03-14,Cultivate Customized Portals Deal 419,17228.18,2025-05-13,Closed Won,wrogers@example.com
Amy,Clark,crystal62@example.com,(860)609-1190x65198,Sports therapist,Ltd,51-200,f56130ba-defa-4003-8a09-797d311e97b3,2025-03-21,Whiteboard Best-Of-Breed Metrics Deal 287,41513.34,2025-05-08,Prospecting,gillmichelle@example.org
Rebecca,Hughes,joannegregory@example.com,281.760.1117,"Scientist, marine",and Sons,1-10,386f21b9-e4bc-42e5-96fe-fbfc4d05fdaa,2025-04-23,Orchestrate Wireless Technologies Deal 282,34447.78,2025-05-05,Closed Lost,qdrake@example.org
Nicole,Taylor,angelaconway@example.net,+1-873-948-0830x705,"Radiographer, diagnostic",Inc,500+,54c9e868-eb1d-4e38-9fdd-7b95b58ccdd4,2025-04-24,Redefine B2C Schemas Deal 7,28966.59,2025-05-26,Closed Won,jeremyfranklin@example.net
Amanda,Hancock,rebeccagarrison@example.com,(585)221-3453x39635,Minerals surveyor,LLC,11-50,c1da964e-d27f-4959-b543-502c71ae4e91,2025-04-15,Engineer 24/365 Web Services Deal 249,4774.95,2025-05-19,Prospecting,baileychelsea@example.com
Tasha,Pierce,figueroatyler@example.com,(777)643-4730,Insurance underwriter,Ltd,51-200,3cfa75da-8637-446a-aa59-fb509e385eb3,2025-03-29,Utilize Dynamic Synergies Deal 125,27456.76,2025-05-08,Closed Lost,bruce99@example.com
Francisco,Brown,mitchellamanda@example.com,478-500-7913,Statistician,,51-200,cb1d2caf-aafa-4875-bdbc-4f6837e25736,2025-04-06,Streamline Holistic Technologies Deal 397,34555.49,2025-05-24,Prospecting,simsdonna@example.org
Robin,Taylor,catherinelewis@example.org,+1-350-940-8977x0212,Geochemist,Group,11-50,fe9d2351-6350-4de1-86b9-e5d62d969e22,2025-03-08,Redefine Turn-Key Models Deal 319,,2025-05-12,Closed Lost,edgarcobb@example.net
Travis,Martin,murphydawn@example.net,123-abc,"Production assistant, television",Group,1-10,54be44c8-851d-45ef-98f8-44453e5a8e1c,2025-04-20,Enable Efficient Partnerships Deal 369,23192.59,2025-05-24,Proposal,vhartman@example.com
Jonathan,Carter,christine93@example.net,001-699-221-6557x81592,Building surveyor,,11-50,3a70eefd-8013-482d-bdf3-25aad7d09e2f,2025-03-30,Exploit Scalable E-Tailers Deal 392,16603.61,2025-05-07,Proposal,millerlisa@example.com
Danielle,Steele,jessica18@example.org,+1-884-548-6349x319,Forensic scientist,and Sons,1-10,04b071d4-e97b-4ecb-9706-a14fe85ff0e2,2025-03-19,Grow World-Class Experiences Deal 20,31115.41,2025-04-28,Closed Won,kristen81@example.com
Christine,Green,ljensen@example.net,+1-470-556-9878x5153,Geophysical data processor,LLC,201-500,55960c91-e618-4bd2-a6e7-b8900612c099,2025-03-08,Orchestrate Efficient Bandwidth Deal 66,11490.26,2025-05-11,Negotiation,brandonford@example.com
Aaron,Beasley,jenniferwilson@example.org,+1-722-510-3764,"Administrator, sports",Ltd,201-500,8f1e61f0-7efe-4642-9837-ea552e97b11a,2025-04-27,Harness Open-Source Functionalities Deal 53,44341.3,2025-05-25,Prospecting,jamesmadeline@example.com
Marc,Avery,benjamin05@example.com,+1-924-899-0700,"Optician, dispensing",Ltd,500+,,2025-04-21,Disintermediate Best-Of-Breed E-Services Deal 420,35383.95,2025-04-18,Negotiation,cruzruth@example.net
Martin,Harmon,not-an-email,600.988.7502x08777,Race relations officer,Group,1-10,,2025-03-09,Innovate Killer Infrastructures Deal 430,43165.38,2025-05-11,Closed Lost,pattondanielle@example.com
Benjamin,Gibson,renee88@example.com,(439)540-9359x03049,Psychiatric nurse,Ltd,1-10,821ad830-8ec9-401f-bda4-6b839f91a55e,2025-04-16,Integrate Integrated Content Deal 182,43947.64,2025-04-23,Closed Lost,walter85@example.org
Bethany,Wilson,kristopher67@example.org,(473)462-5577x16270,"Buyer, retail",PLC,201-500,46f00684-9784-46ae-ba2e-01f373881893,2025-04-01,Architect Turn-Key Niches Deal 65,13241.64,2025-04-24,Closed Won,hayeslaura@example.com
Aaron,Nunez,thompsonreginald@example.com,283.439.6874x62760,"Secretary, company",Ltd,11-50,5c3a2133-e6d6-4f9c-a2f4-50ead58398ce,2025-04-27,Morph Ubiquitous Deliverables Deal 404,-1000.0,2025-05-08,Prospecting,edwardswilliam@example.org
Tara,Keller,wrightaaron@example.net,9595083553,"Scientist, research (medical)",PLC,11-50,91cac7b2-a0fc-47d5-ae83-dacf4b196bce,2025-03-10,Revolutionize Interactive Users Deal 225,24634.16,2025-04-23,Closed Lost,nicholasburke@example.net
Diana,Ray,jbean@example.org,468-813-3401,Solicitor,PLC,500+,7c8b121c-2f5a-49a5-93db-d8f7c2e3c493,2025-04-24,Extend Sticky Portals Deal 294,14241.12,2025-04-18,Negotiation,stephensdana@example.net
Jeanne,Brandt,anewman@example.org,001-256-270-5941x99259,Broadcast journalist,Ltd,51-200,f9cd31c1-123f-4b72-a236-45bba7e58086,2025-04-01,Strategize Magnetic Partnerships Deal 309,18826.04,2025-05-03,Negotiation,ibuck@example.net
Shelia,Shaw,zachary66@example.org,+1-962-363-4865,Insurance broker,LLC,500+,ef69e285-c162-4cd3-8319-ca45727c5c3f,2025-04-18,Transition Viral Markets Deal 181,15326.47,2025-05-19,Closed Lost,marthalane@example.org
Christina,Harrison,david23@example.net,2039635432,Broadcast presenter,PLC,500+,f2c36904-d02f-4c96-8e1d-5ed64a45a6b7,2025-04-23,Brand Mission-Critical E-Markets Deal 143,29009.08,2025-04-20,Prospecting,philip85@example.com
Brianna,Moore,brittanygutierrez@example.com,573-950-6965x4622,"Designer, textile",PLC,1-10,bd19f4e8-f2e0-4bfd-bf4a-93c3044afb50,2025-03-14,Revolutionize Real-Time Experiences Deal 407,,2025-05-19,Prospecting,hcarney@example.org
Jeremy,Hardy,matthew30@example.net,123-abc,Health promotion specialist,Inc,51-200,417b17d6-5cff-40d4-9745-67eac6324867,2025-04-21,Matrix Viral Bandwidth Deal 320,-1000.0,2025-04-19,Negotiation,courtney93@example.com
Alexander,Smith,tyler89@example.com,001-660-694-3313,Senior tax professional/tax inspector,Inc,11-50,41229ffe-3014-451d-9b29-a035f4fb8a12,2025-03-23,Implement Web-Enabled Interfaces Deal 36,23700.62,2025-04-25,Proposal,jeremymiller@example.org
Thomas,Henderson,joseph83@example.org,001-994-481-4390x868,Regulatory affairs officer,Inc,11-50,23c3a5c9-d9f4-4ffd-8cb0-2f0ed427e291,2025-03-08,Embrace B2B Platforms Deal 267,34710.61,2025-05-12,Proposal,ann76@example.org
Alicia,Williams,joseduncan@example.com,729-344-7480,Financial trader,PLC,1-10,f0e1ffb2-250b-4c6e-87dd-f60aebd67f25,2025-02-27,Unleash 24/365 Markets Deal 252,47531.26,2025-05-19,Closed Lost,michaeldodson@example.net
Jeff,Sandoval,mweaver@example.net,001-754-744-2080x652,"Investment banker, operational",Inc,201-500,f406d0b8-fd10-44c3-b41a-a57ca01bf729,2025-03-07,Incentivize Turn-Key Markets Deal 63,8760.93,2025-05-24,Prospecting,lewismargaret@example.org
Kristy,Robinson,harrisjessica@example.org,(890)429-1396,Medical sales representative,Group,500+,d3316b0c-57c7-46e3-892e-f5e01790bd73,2025-04-04,Deliver B2B Portals Deal 222,11960.34,2025-04-27,Proposal,sjones@example.com
Jasmine,Crane,stephanielivingston@example.net,(526)868-3983x89066,Site engineer,and Sons,51-200,a20e0f6a-dc35-45e2-956a-aa20a1b894c0,2025-04-06,Morph Bricks-And-Clicks Channels Deal 343,-1000.0,2025-05-25,Closed Lost,nicholsjustin@example.org
John,Miller,seth02@example.com,001-229-490-8051x1024,Proofreader,and Sons,51-200,0c2241f0-9270-471f-bcef-f15ae67fd811,2025-03-07,Scale Best-Of-Breed Users Deal 348,-1000.0,2025-05-12,Negotiation,sullivansherry@example.org
Brittany,Edwards,matthewlee@example.net,+1-550-576-5643x4933,"Surveyor, building",LLC,201-500,75ec50e2-fd1a-44dc-aeff-51284c4ce51f,2025-03-09,Mesh Efficient Methodologies Deal 354,40929.34,2025-05-13,Closed Lost,lindsay06@example.net
Mercedes,Page,brookejackson@example.com,918.508.8336,"Clinical scientist, histocompatibility and immunogenetics",and Sons,201-500,a9b536e6-a0a1-4191-a7c9-65ae36e746a8,2025-03-27,Re-Intermediate Customized E-Business Deal 227,24217.63,2025-05-27,Prospecting,rdunn@example.org
Jennifer,Perez,zoe60@example.com,962.209.1768,Ranger/warden,Ltd,201-500,79833c5d-9173-4286-bf5b-ab1ced8b1473,2025-04-10,Leverage Revolutionary Paradigms Deal 14,15063.14,2025-05-20,Prospecting,emily31@example.org
Rebecca,Miller,elizabeth37@example.org,+1-484-454-5696x84585,Seismic interpreter,and Sons,500+,a1207dc7-92ba-4ceb-ae50-0a5b56b5cc76,2025-04-09,Repurpose Innovative Schemas Deal 95,21134.93,2025-04-17,Prospecting,kenneth98@example.net
Danielle,Ramirez,richardpowell@example.org,+1-676-304-7425,Art therapist,LLC,500+,792c00bd-d127-4324-bea4-3275a5bbf214,2025-03-29,Streamline Real-Time Networks Deal 223,10876.58,2025-04-17,Proposal,victorlewis@example.org
Kevin,Smith,julieerickson@example.org,001-604-926-6532x67055,"Chemist, analytical",PLC,11-50,1fc2c90a-65d7-4005-b3cf-58a52f69c271,2025-03-29,Syndicate Front-End Schemas Deal 486,14931.17,2025-04-20,Closed Lost,loweashley@example.org
Briana,Carpenter,kimberlyhuff@example.net,622.938.3761,"Conservation officer, historic buildings",Ltd,1-10,2e4d05d5-1cc8-4fb6-924f-06f36de25b49,2025-04-11,Deploy 24/365 Bandwidth Deal 116,19602.52,2025-04-28,Proposal,rodneyandrews@example.org
Anthony,Sanders,robertsjessica@example.com,605-650-7983x3561,Midwife,and Sons,,,2025-03-02,Engage Granular Architectures Deal 318,,2025-04-17,Prospecting,amberadams@example.com
Jared,Harrington,joshua26@example.org,812.844.1664x90018,"Surveyor, mining",Inc,500+,5d28d0b4-0f45-4073-b742-bd2d6e0da2c3,2025-03-03,Re-Contextualize E-Business Users Deal 60,48776.44,2025-05-24,Closed Won,leonard89@example.org
Tina,Hall,not-an-email,(231)755-5486x01731,Barrister's clerk,LLC,1-10,dae8a85f-446d-4850-afb7-611e0705198d,2025-04-11,Repurpose Cutting-Edge E-Services Deal 364,16355.38,2025-04-24,Prospecting,xparrish@example.org
Jennifer,Davis,joseph96@example.net,+1-637-465-6373,"Scientist, marine",Group,201-500,8455e1e7-3b50-423d-86d1-ab6b5c72b4a7,2025-03-25,Envisioneer Magnetic Relationships Deal 232,31542.0,2025-04-24,Closed Lost,jhernandez@example.com
Dawn,George,jacksondaniel@example.net,001-236-269-9520x41485,Quarry manager,Group,,4c7eb5dc-6cd6-422a-8aa8-38975a029752,2025-04-22,Innovate Leading-Edge Architectures Deal 370,44959.15,2025-05-07,Proposal,olivia40@example.org
Cynthia,Myers,frostvincent@example.org,001-403-570-1782x75337,Financial adviser,Group,1-10,177f483d-ceda-4901-9400-8ce6d3e930ee,2025-04-22,Re-Contextualize User-Centric Web Services Deal 2,6476.93,2025-05-15,Proposal,parkerlaura@example.org
Christopher,Odom,warekimberly@example.com,001-361-395-4684x15618,Counsellor,LLC,500+,07da6e3b-784e-40da-83f5-da067213e418,2025-03-30,Embrace End-To-End Web Services Deal 496,42699.25,2025-05-23,Proposal,hgarcia@example.com
Elizabeth,Contreras,jamesmacdonald@example.org,275.683.3086x44393,Aid worker,and Sons,51-200,87688cdf-6b9c-4c92-8c8e-f80dfb99a9af,2025-03-25,Maximize 24/7 Bandwidth Deal 197,2912.09,2025-05-05,Prospecting,savannah63@example.org
Lori,Jones,jacksongary@example.org,+1-672-783-8204x426,Diplomatic Services operational officer,Group,51-200,178618fc-c85f-4937-826a-85bb25f2908d,2025-03-20,Strategize Interactive Web Services Deal 229,8952.15,2025-05-10,Proposal,bmitchell@example.com
